feature,importance
POS_SK_DPD_MEAN,5975.289204597473
CC_AMT_DRAWINGS_CURRENT_MAX,5778.176399230957
ORGANIZATION_TYPE_Self_employed,5615.862037658691
BUREAU_AMT_ANNUITY_MIN,5566.109716415405
BUREAU_BB_STATUS_X_SUM_MAX,5546.411418914795
YEARS_BUILD_AVG,5175.185928344727
NAME_INCOME_TYPE_State_servant,5080.001201629639
BUREAU_AMT_CREDIT_MAX_OVERDUE_MIN,4995.915981292725
NAME_INCOME_TYPE_Working,4885.547782897949
FLOORSMIN_AVG,4836.942506790161
POS_SK_DPD_MAX,4812.629388809204
REGION_RATING_CLIENT,4636.099094390869
FLAG_WORK_PHONE,4382.517303466797
OCCUPATION_TYPE_Drivers,4284.146905899048
CNT_FAM_MEMBERS,4086.168911933899
CC_SK_DPD_MEAN,4080.2163944244385
ORGANIZATION_TYPE_Business_Entity_Type_3,4001.250690460205
ELEVATORS_AVG,3956.396894454956
BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX,3900.128560066223
ORGANIZATION_TYPE_Construction,3850.999698638916
ENTRANCES_MODE,3794.758010864258
FLOORSMAX_MEDI,3771.500690460205
NONLIVINGAPARTMENTS_AVG,3712.2164154052734
YEARS_BUILD_MEDI,3675.474105834961
AMT_REQ_CREDIT_BUREAU_MON,3665.4383087158203
NAME_FAMILY_STATUS_Single___not_married,3378.8907260894775
ORGANIZATION_TYPE_School,3345.402202606201
CC_AMT_CREDIT_LIMIT_ACTUAL_MAX,3319.08939743042
OCCUPATION_TYPE_Laborers,3306.811305999756
NONLIVINGAPARTMENTS_MODE,3242.7429189682007
PREV_STATUS_Canceled_SUM,3179.9128093719482
CC_AMT_PAYMENT_CURRENT_MIN,2894.2458057403564
FLAG_PHONE,2885.0714015960693
OCCUPATION_TYPE_Sales_staff,2815.2982864379883
ORGANIZATION_TYPE_Military,2790.8875122070312
FLOORSMAX_MODE,2790.6577796936035
FLAG_OWN_REALTY_N,2719.3712062835693
ORGANIZATION_TYPE_Industry__type_9,2639.652693748474
FLOORSMIN_MEDI,2463.6036891937256
WEEKDAY_APPR_PROCESS_START_SATURDAY,2405.5336990356445
ORGANIZATION_TYPE_Transport__type_3,2344.2188024520874
WEEKDAY_APPR_PROCESS_START_MONDAY,2287.889711380005
CC_SK_DPD_DEF_MEAN,2264.0826110839844
FLAG_DOCUMENT_18,2249.4122133255005
OCCUPATION_TYPE_Accountants,2233.072328567505
FLOORSMIN_MODE,2180.2329902648926
WALLSMATERIAL_MODE_Panel,2146.5813007354736
BUREAU_BB_STATUS_1_SUM_MAX,2056.356698036194
ENTRANCES_MEDI,2003.6115989685059
CNT_CHILDREN,1947.7312870025635
ORGANIZATION_TYPE_Police,1839.254804611206
ELEVATORS_MODE,1828.207202911377
NONLIVINGAPARTMENTS_MEDI,1800.0669898986816
NAME_HOUSING_TYPE_House___apartment,1795.7117156982422
BUREAU_AMT_CREDIT_SUM_OVERDUE_SUM,1742.7207975387573
BUREAU_CNT_CREDIT_PROLONG_MEAN,1638.0046977996826
FLAG_DOCUMENT_11,1608.1859951019287
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,1554.5421962738037
WEEKDAY_APPR_PROCESS_START_FRIDAY,1528.4179916381836
ORGANIZATION_TYPE_Kindergarten,1510.5150985717773
POS_CNT_INSTALMENT_FUTURE_MIN,1488.5711002349854
NAME_FAMILY_STATUS_Civil_marriage,1488.4580917358398
CC_SK_DPD_SUM,1415.9225044250488
PREV_STATUS_Unused_offer_SUM,1385.7304992675781
ELEVATORS_MEDI,1352.8546104431152
OCCUPATION_TYPE_Low_skill_Laborers,1346.3176040649414
REG_CITY_NOT_WORK_CITY,1342.5380992889404
OCCUPATION_TYPE_High_skill_tech_staff,1293.4500999450684
FLAG_DOCUMENT_16,1263.6981925964355
